,title,publication_info,cited_by
434,A new solution for cyber security in big data using machine learning approach,"R Rawat, OA Oki, KS Sankaran, O Olasupo… - Mobile Computing and …, 2023 - Springer",Cited by 52
435,Taxonomy of machine learning paradigms: A data‐centric perspective,"F Emmert‐Streib, M Dehmer - Wiley Interdisciplinary Reviews …, 2022 - Wiley Online Library",Cited by 33
436,Review on interpretable machine learning in smart grid,"C Xu, Z Liao, C Li, X Zhou, R Xie - Energies, 2022 - mdpi.com",Cited by 49
437,Machine learning hidden symmetries,"Z Liu, M Tegmark - Physical Review Letters, 2022 - APS",Cited by 58
438,A review and comparative study of cancer detection using machine learning: SBERT and SimCSE application,"M Mokoatle, V Marivate, D Mapiye, R Bornman… - BMC …, 2023 - Springer",Cited by 25
439,[HTML][HTML] Prediction of breast cancer using machine learning approaches,"R Rabiei, SM Ayyoubzadeh, S Sohrabei… - Journal of biomedical …, 2022 - ncbi.nlm.nih.gov",Cited by 77
440,Combining machine learning and semantic web: A systematic mapping study,"A Breit, L Waltersdorfer, FJ Ekaputra, M Sabou… - ACM Computing …, 2023 - dl.acm.org",Cited by 53
441,[PDF][PDF] A machine learning model for skin disease classification using convolution neural network,"VR Allugunti - … Journal of Computing, Programming and Database …, 2022 - researchgate.net",Cited by 221
442,Machine learning-based marker for coronary artery disease: derivation and validation in two longitudinal cohorts,"IS Forrest, BO Petrazzini, Á Duffy, JK Park… - The Lancet, 2023 - thelancet.com",Cited by 81
443,[HTML][HTML] Machine learning for polymer composites process simulation–a review,"S Cassola, M Duhovic, T Schmidt, D May - Composites Part B: Engineering, 2022 - Elsevier",Cited by 52
444,Dynamic resource allocation for virtual machine migration optimization using machine learning,"Y Gong, J Huang, B Liu, J Xu, B Wu… - arXiv preprint arXiv …, 2024 - arxiv.org",Cited by 32
445,Edge computing with artificial intelligence: A machine learning perspective,"H Hua, Y Li, T Wang, N Dong, W Li, J Cao - ACM Computing Surveys, 2023 - dl.acm.org",Cited by 213
446,Forecasting of solar radiation using different machine learning approaches,"V Demir, H Citakoglu - Neural Computing and Applications, 2023 - Springer",Cited by 75
447,[HTML][HTML] An approach towards the implementation of a reliable resilience model based on machine learning,"T Vairo, M Pettinato, AP Reverberi, MF Milazzo… - Process Safety and …, 2023 - Elsevier",Cited by 25
448,Prediction of loan behaviour with machine learning models for secure banking,"M Anand, A Velu, P Whig - Journal of Computer Science and …, 2022 - icsejournal.com",Cited by 102
449,Integrating scientific knowledge with machine learning for engineering and environmental systems,"J Willard, X Jia, S Xu, M Steinbach, V Kumar - ACM Computing Surveys, 2022 - dl.acm.org",Cited by 398
450,Membership inference attacks on machine learning: A survey,"H Hu, Z Salcic, L Sun, G Dobbie, PS Yu… - ACM Computing Surveys …, 2022 - dl.acm.org",Cited by 440
451,A review of the machine learning algorithms for COVID-19 case analysis,"S Tiwari, P Chanak, SK Singh - IEEE Transactions on Artificial …, 2022 - ieeexplore.ieee.org",Cited by 52
452,Effective heart disease prediction using machine learning techniques,"CM Bhatt, P Patel, T Ghetia, PL Mazzeo - Algorithms, 2023 - mdpi.com",Cited by 177
453,[HTML][HTML] Machine learning-based automatic control of tunneling posture of shield machine,"H Huang, J Chang, D Zhang, J Zhang, H Wu… - Journal of Rock …, 2022 - Elsevier",Cited by 55
454,Review of machine learning techniques for EEG based brain computer interface,"S Aggarwal, N Chugh - Archives of Computational Methods in …, 2022 - Springer",Cited by 180
455,[HTML][HTML] Flood forecasting with machine learning models in an operational framework,"S Nevo, E Morin, A Gerzi Rosenthal… - Hydrology and Earth …, 2022 - hess.copernicus.org",Cited by 110
456,Predicting individual learning performance using machine‐learning hybridized with the teaching‐learning‐based optimization,"M Arashpour, EM Golafshani… - Computer …, 2023 - Wiley Online Library",Cited by 44
457,Hybrid model for detection of cervical cancer using causal analysis and machine learning techniques,"UK Lilhore, M Poongodi, A Kaur… - … Methods in Medicine, 2022 - Wiley Online Library",Cited by 157
458,Assessing credit risk of commercial customers using hybrid machine learning algorithms,"MR Machado, S Karray - Expert Systems with Applications, 2022 - Elsevier",Cited by 71
459,Reimagining the machine learning life cycle to improve educational outcomes of students,"LT Liu, S Wang, T Britton… - Proceedings of the …, 2023 - National Acad Sciences",Cited by 23
460,[HTML][HTML] Precision agriculture using IoT data analytics and machine learning,"R Akhter, SA Sofi - Journal of King Saud University-Computer and …, 2022 - Elsevier",Cited by 355
461,Applications of machine learning in perovskite materials,"Z Wang, M Yang, X Xie, C Yu, Q Jiang… - … Composites and Hybrid …, 2022 - Springer",Cited by 57
462,Internet of things and machine learning-integrated smart robotics,"BU Maheswari, SS Imambi, D Hasan… - … on Robotics and …, 2023 - igi-global.com",Cited by 50
463,[HTML][HTML] Fraud prediction using machine learning: The case of investment advisors in Canada,"ME Lokanan, K Sharma - Machine Learning with Applications, 2022 - Elsevier",Cited by 60
464,Machine learning in crime prediction,"K Jenga, C Catal, G Kar - Journal of Ambient Intelligence and Humanized …, 2023 - Springer",Cited by 39
465,[HTML][HTML] Landslide susceptibility mapping using machine learning: A literature survey,"M Ado, K Amitab, AK Maji, E Jasińska, R Gono… - Remote Sensing, 2022 - mdpi.com",Cited by 91
466,Prediction of strength and analysis in self-compacting concrete using machine learning based regression techniques,"SA Rajakarunakaran, AR Lourdu, S Muthusamy… - … in Engineering Software, 2022 - Elsevier",Cited by 76
467,Exploiting symmetry in variational quantum machine learning,"JJ Meyer, M Mularski, E Gil-Fuster, AA Mele, F Arzani… - PRX Quantum, 2023 - APS",Cited by 149
468,Brain tumor detection and classification using machine learning: a comprehensive survey,"J Amin, M Sharif, A Haldorai, M Yasmin… - Complex & intelligent …, 2022 - Springer",Cited by 253
469,[HTML][HTML] Prediction of the severity of marine accidents using improved machine learning,"Y Feng, X Wang, Q Chen, Z Yang, J Wang, H Li… - … Research Part E …, 2024 - Elsevier",Cited by 4
470,Tuberculosis disease diagnosis based on an optimized machine learning model,"O Hrizi, K Gasmi, I Ben Ltaifa… - Journal of …, 2022 - Wiley Online Library",Cited by 78
471,Machine learning in the detection and management of atrial fibrillation,"FK Wegner, L Plagwitz, F Doldi, C Ellermann… - Clinical Research in …, 2022 - Springer",Cited by 39
472,Machine learning in scanning transmission electron microscopy,"SV Kalinin, C Ophus, PM Voyles, R Erni… - Nature Reviews …, 2022 - nature.com",Cited by 96
473,Predicting is not understanding: Recognizing and addressing underspecification in machine learning,"D Teney, M Peyrard, E Abbasnejad - European Conference on Computer …, 2022 - Springer",Cited by 24
474,A brief guide to machine learning for antibiotic discovery,"G Liu, JM Stokes - Current Opinion in Microbiology, 2022 - Elsevier",Cited by 18
475,A review of recent advances and applications of machine learning in tribology,"AT Sose, SY Joshi, LK Kunche, F Wang… - Physical Chemistry …, 2023 - pubs.rsc.org",Cited by 27
476,Super-resolution analysis via machine learning: a survey for fluid flows,"K Fukami, K Fukagata, K Taira - Theoretical and Computational Fluid …, 2023 - Springer",Cited by 71
477,Quantum machine learning for image classification,"A Senokosov, A Sedykh, A Sagingalieva… - Machine Learning …, 2024 - iopscience.iop.org",Cited by 42
478,"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge","W Zhang, X Gu, L Tang, Y Yin, D Liu, Y Zhang - Gondwana Research, 2022 - Elsevier",Cited by 198
479,Machine learning techniques in emerging cloud computing integrated paradigms: A survey and taxonomy,"D Soni, N Kumar - Journal of Network and Computer Applications, 2022 - Elsevier",Cited by 72
480,Detecting and analyzing suicidal ideation on social media using deep learning and machine learning models,"THH Aldhyani, SN Alsubari, AS Alshebami… - International journal of …, 2022 - mdpi.com",Cited by 67
481,Matchmaker: Data drift mitigation in machine learning for large-scale systems,"A Mallick, K Hsieh, B Arzani… - … of Machine Learning and …, 2022 - proceedings.mlsys.org",Cited by 68
482,Shear strength prediction of reinforced concrete beams using machine learning,"MS Sandeep, K Tiprak, S Kaewunruen, P Pheinsusom… - Structures, 2023 - Elsevier",Cited by 44
483,[HTML][HTML] A machine learning method for the prediction of ship motion trajectories in real operational conditions,"M Zhang, P Kujala, M Musharraf, J Zhang, S Hirdaris - Ocean Engineering, 2023 - Elsevier",Cited by 60
484,Persistent-homology-based machine learning: a survey and a comparative study,"CS Pun, SX Lee, K Xia - Artificial Intelligence Review, 2022 - Springer",Cited by 71
485,[HTML][HTML] A comparative study of classification and prediction of Cardio-Vascular Diseases (CVD) using Machine Learning and Deep Learning techniques,"M Swathy, K Saruladha - ICT express, 2022 - Elsevier",Cited by 134
486,Data management for machine learning: A survey,"C Chai, J Wang, Y Luo, Z Niu… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",Cited by 51
487,"[HTML][HTML] 3D printing of biodegradable polymers and their composites–Current state-of-the-art, properties, applications, and machine learning for potential future …","SAV Dananjaya, VS Chevali, JP Dear, P Potluri… - Progress in Materials …, 2024 - Elsevier",Cited by 5
488,[HTML][HTML] Leakage and the reproducibility crisis in machine-learning-based science,"S Kapoor, A Narayanan - Patterns, 2023 - cell.com",Cited by 160
489,[HTML][HTML] Machine Learning for Advanced Emission Monitoring and Reduction Strategies in Fossil Fuel Power Plants,"Z Zuo, Y Niu, J Li, H Fu, M Zhou - Applied Sciences, 2024 - mdpi.com",Cited by 4
490,[HTML][HTML] Renewable energy management in smart grids by using big data analytics and machine learning,"N Mostafa, HSM Ramadan, O Elfarouk - Machine Learning with …, 2022 - Elsevier",Cited by 128
491,Machine Learning in Information Systems Research.,"B Padmanabhan, X Fang, N Sahoo… - MIS …, 2022 - search.ebscohost.com",Cited by 61
492,[HTML][HTML] Applications of data mining and machine learning framework in aquaculture and fisheries: A review,"J Gladju, BS Kamalam, A Kanagaraj - Smart Agricultural Technology, 2022 - Elsevier",Cited by 109
493,Machine learning approaches in stock price prediction: a systematic review,"P Soni, Y Tewari, D Krishnan - Journal of Physics: Conference …, 2022 - iopscience.iop.org",Cited by 90
494,[HTML][HTML] Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost,"Z Li - Computers, Environment and Urban Systems, 2022 - Elsevier",Cited by 240
495,Prediction of agriculture yields using machine learning algorithms,"VK Gunjan, S Kumar, MD Ansari… - … in Machine Learning, IoT …, 2022 - Springer",Cited by 39
496,Machine learning in dentistry: a scoping review,"LT Arsiwala-Scheppach, A Chaurasia… - Journal of Clinical …, 2023 - mdpi.com",Cited by 34
497,Machine learning approaches in stock market prediction: A systematic literature review,"LN Mintarya, JNM Halim, C Angie, S Achmad… - Procedia Computer …, 2023 - Elsevier",Cited by 69
498,Malware threat affecting financial organization analysis using machine learning approach,"R Rawat, SK Sarangi, YN Rimal, P William… - International Journal of …, 2022 - igi-global.com",Cited by 110
499,[HTML][HTML] Twelve key challenges in medical machine learning and solutions,"RJ Ellis, RM Sander, A Limon - Intelligence-Based Medicine, 2022 - Elsevier",Cited by 28
500,"Machine learning and AI in cancer prognosis, prediction, and treatment selection: a critical approach","B Zhang, H Shi, H Wang - Journal of multidisciplinary healthcare, 2023 - Taylor & Francis",Cited by 79
